name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000320251205H1139423651402d3f_L-P-OTMb.09,70,70,24.200879174000875,[],[],[],[],0,0,2.8979993658140304e-07,928,1856,0,1856,702,1154,66,928,1790,3552,20,0,0,0,0,0,1756
000120251205H113942213462aczN_L-X-Ozyd.05,81,81,84.3877038609935,[],[],[],[],0,0,3.001152756897842e-07,2552,5104,0,5104,2738,2366,98,2552,4314,8588,182,0,0,0,0,0,4112
000120251205H113942213462aczN_LitaAgentY-LitaAgentN-UEVl.04,81,81,75.96347458299715,[],[],[],[],0,0,2.7835417045828176e-07,2658,5316,0,5316,3044,2272,194,2658,4620,9200,174,0,0,0,0,0,4426
000020251205H113942142818qBUX_L-P-Od2u.00,82,82,72.60385746200336,[],[],[],[],0,0,2.7370483354281855e-07,2619,5238,0,5238,1486,3750,254,2619,2860,5684,166,0,0,0,0,0,2676
000420251205H113942444814iCAZ_LitaAgentY-LitaAgentP-U9gn.14,100,100,36.710773491999134,[],[],[],[],0,0,3.1600065995007755e-07,1600,3200,0,3200,654,2546,108,1600,2176,4320,0,0,0,0,0,0,2160
000120251205H113942213462aczN_LitaAgentY-LitaAgentP-PN4h.03,81,81,86.09630274600204,[],[],[],[],0,0,3.020583843702779e-07,2975,5950,0,5950,2468,3482,142,2975,4044,8048,136,0,0,0,0,0,3888
000220251205H1139423084075ixF_LitaAgentY-LitaAgentP-PmPL.06,58,58,15.584908800999983,[],[],[],[],0,0,3.485991328489035e-07,928,1856,0,1856,578,1276,138,928,1466,2900,0,0,0,0,0,0,1450
000420251205H113942444814iCAZ_L-P-KihV.12,100,100,44.59690928600321,[],[],[],[],0,0,3.2949974411167203e-07,1460,2920,0,2920,972,1948,182,1460,2494,4956,22,0,0,0,0,0,2456
000420251205H113942444814iCAZ_LitaAgentY-LitaAgentC-XXgN.14,100,100,414.02013162799994,[],[],[],[],0,0,2.976004907395691e-07,1472,2944,0,2944,990,1954,162,1472,2512,4992,18,0,0,0,0,0,2478
000420251205H113942444814iCAZ_L-K-OXSq.13,100,100,43.48790261699469,[],[],[],[],0,0,2.9670045478269456e-07,1376,2752,0,2752,934,1818,174,1376,2456,4880,16,0,0,0,0,0,2424
000220251205H1139423084075ixF_L-P-OVzx.08,58,58,17.800411438991432,[],[],[],[],0,0,3.025983460247517e-07,928,1856,0,1856,494,1362,342,928,1382,2732,0,0,0,0,0,0,1366
000420251205H113942444814iCAZ_L-X-PARY.13,100,100,71.92316039099387,[],[],[],[],0,0,3.206005203537643e-07,1600,3200,0,3200,1132,2064,108,1600,2654,5276,0,0,0,0,0,0,2638
000120251205H113942213462aczN_LitaAgentC-LitaAgentP-UXxi.04,81,81,86.91895108600147,[],[],[],[],0,0,2.9417552629157026e-07,2921,5842,0,5842,2746,3096,276,2921,4322,8604,136,0,0,0,0,0,4166
000220251205H1139423084075ixF_L-X-U2dM.07,58,58,20.50628216000041,[],[],[],[],0,0,3.3940086723305286e-07,928,1856,0,1856,746,1108,160,928,1634,3236,0,0,0,0,0,0,1618
000420251205H113942444814iCAZ_LitaAgentC-LitaAgentN-LitaAgentPz0P.13,100,100,56.40932502000214,[],[],[],[],0,0,3.020999429281801e-07,1428,2856,0,2856,754,2102,148,1428,2276,4520,8,0,0,0,0,0,2252
000320251205H1139423651402d3f_L-Po-PriTB.10,70,70,26.2959907849945,[],[],[],[],0,0,3.1250019674189387e-07,944,1888,0,1888,522,1366,324,944,1610,3192,8,0,0,0,0,0,1588
000220251205H1139423084075ixF_LitaAgentN-LitaAgentP-XP1S.08,58,58,12.982048790006957,[],[],[],[],0,0,3.0180017347447573e-07,928,1856,0,1856,456,1400,94,928,1344,2656,0,0,0,0,0,0,1328
000220251205H1139423084075ixF_L-U-KFjV.07,58,58,23.865782286993635,[],[],[],[],0,0,3.1290037441067395e-07,928,1856,0,1856,602,1254,192,928,1490,2948,0,0,0,0,0,0,1474
000320251205H1139423651402d3f_LitaAgentC-LitaAgentP-OIIx.11,70,70,315.56855409999844,[],[],[],[],0,0,3.309018211439252e-07,958,1916,0,1916,732,1180,86,958,1820,3612,22,0,0,0,0,0,1784
000020251205H113942142818qBUX_X-Po-Prb0F.02,82,82,74.50989536200359,[],[],[],[],0,0,2.8347130864858627e-07,2918,5836,0,5836,1656,4180,26,2918,3030,6024,128,0,0,0,0,0,2884
000420251205H113942444814iCAZ_U-P-KEVS.12,100,100,54.95247260500037,[],[],[],[],0,0,3.144006768707186e-07,1380,2760,0,2760,742,2016,140,1380,2264,4496,0,0,0,0,0,0,2248
000220251205H1139423084075ixF_X-P-K7Ta.08,58,58,33.46928131999448,[],[],[],[],0,0,3.245993866585195e-07,916,1832,0,1832,722,1110,90,916,1610,3188,14,0,0,0,0,0,1580
000020251205H113942142818qBUX_X-P-KWuS.01,82,82,71.9716319979998,[],[],[],[],0,0,2.672938588897095e-07,2780,5560,0,5560,1510,4050,138,2780,2884,5732,146,0,0,0,0,0,2720
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-LitaAgentNa9P.07,58,58,383.5029923409893,[],[],[],[],0,0,2.9910006560385227e-07,928,1856,0,1856,678,1172,122,928,1566,3100,0,0,0,0,0,0,1550
000220251205H1139423084075ixF_LitaAgentC-LitaAgentN-PBra.07,58,58,17.681001771998126,[],[],[],[],0,0,3.2660027500241994e-07,928,1856,0,1856,450,1406,346,928,1338,2644,0,0,0,0,0,0,1322
000320251205H1139423651402d3f_L-X-PUPV.11,70,70,43.739212991000386,[],[],[],[],0,0,3.36098310071975e-07,1000,2000,0,2000,862,1138,72,1000,1950,3872,40,0,0,0,0,0,1896
000420251205H113942444814iCAZ_LitaAgentY-LitaAgentC-KoHF.13,100,100,459.59296374899714,[],[],[],[],0,0,3.2649986678734424e-07,1475,2950,0,2950,880,2070,162,1475,2402,4772,28,0,0,0,0,0,2358
000420251205H113942444814iCAZ_L-U-PAaR.13,100,100,55.782031014001404,[],[],[],[],0,0,3.543995262589306e-07,1420,2840,0,2840,752,2088,308,1420,2274,4516,6,0,0,0,0,0,2252
