name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2,188,27,864.371829148,[],[],[],[],0,0,0.012143300009483937,1456,2912,0,2912,784,1210,220,1456,1262,2485,0,0,0,0,0,0,1132
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2,123,123,137.1492466740001,[],[],[],[],0,0,2.918235194930971e-07,3297,6594,0,6594,3526,3068,490,3297,5654,11272,218,0,0,0,0,0,5418
000120251204H191517423326ozUv_LitaAgentY-LitaAgentYR-LitaAgentNXpQ.05_1,162,162,190.39559112100142,[],[],[],[],0,0,2.748460806637573e-07,4615,9230,0,9230,4582,4642,1062,4615,7998,15952,0,0,0,0,0,0,7976
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2,108,75,870.2217178669998,[],[],[],[],0,0,10.272483591243038,2255,4510,0,4510,1920,2578,348,2255,3474,6902,132,0,0,0,0,0,3234
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2,142,142,163.3057234250009,[],[],[],[],0,0,2.9547086074564827e-07,4396,8792,0,8792,2430,6362,114,4396,5336,10636,104,0,0,0,0,0,5214
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_1,142,142,169.2453209209998,[],[],[],[],0,0,2.7205864813260955e-07,4332,8664,0,8664,2188,6474,118,4332,5094,10152,106,0,0,0,0,0,4970
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1,103,103,68.78420033099974,[],[],[],[],0,0,3.051427484024316e-07,2445,4890,0,4890,1206,3684,14,2445,2774,5520,78,0,0,0,0,0,2682
000820251204H1915179350482njE_LitaAgentC-LitaAgentP-XLyF.26_2,188,188,666.3196793679999,[],[],[],[],0,0,2.837894881897802e-07,7256,14512,0,14512,3854,6280,80,7256,6978,13924,48,0,0,0,0,0,6914
000920251204H191518050476V10x_LitaAgentY-LitaAgentC-Xo4v.29_1,97,97,129.84130988200013,[],[],[],[],0,0,3.079227239000969e-07,2904,5808,0,5808,2112,3696,322,2904,4096,8148,0,0,0,0,0,0,4074
001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-Xlkm.55_2,180,180,610.038934774002,[],[],[],[],0,0,2.828417468423906e-07,7458,14916,0,14916,1624,8526,360,7458,4268,8508,30,0,0,0,0,0,4224
001720251204H191518649941I0kf_LitaAgentY-LitaAgentN-XHer.53_1,153,153,124.03421617799904,[],[],[],[],0,0,2.894999592431954e-07,3182,6364,0,6364,1802,4562,0,3182,4008,7988,56,0,0,0,0,0,3938
001720251204H191518649941I0kf_LitaAgentC-LitaAgentP-XgRl.51_2,153,153,133.63308447799864,[],[],[],[],0,0,3.139284672215581e-07,3210,6420,0,6420,990,5430,684,3210,3196,6364,50,0,0,0,0,0,3132
001420251204H191518424020BnUH_LitaAgentY-LitaAgentP-XGqL.42_2,138,138,139.218935410001,[],[],[],[],0,0,3.1861544322544853e-07,2901,5802,0,5802,1784,4018,276,2901,4784,9524,56,0,0,0,0,0,4706
001020251204H191518120913k0nD_LitaAgentY-LitaAgentC-LitaAgentN8b8.31_1,131,131,738.21328455,[],[],[],[],0,0,3.127777543138816e-07,5488,10976,0,10976,2868,4580,64,5488,4806,9580,64,0,0,0,0,0,4726
001020251204H191518120913k0nD_LitaAgentY-LitaAgentC-X9aO.31_2,131,131,722.764826867,[],[],[],[],0,0,2.927222592714113e-07,5412,10824,0,10824,2582,4844,52,5412,4520,9008,34,0,0,0,0,0,4470
000920251204H191518050476V10x_LitaAgentY-LitaAgentN-XacH.29_1,97,97,85.80093666500034,[],[],[],[],0,0,3.202305658935354e-07,2910,5820,0,5820,2346,3470,174,2910,4330,8616,0,0,0,0,0,0,4308
001720251204H191518649941I0kf_LitaAgentY-LitaAgentN-LitaAgentPBpH.52_2,153,153,124.2081951909986,[],[],[],[],0,0,2.7721437488383215e-07,3104,6208,0,6208,1824,4384,198,3104,4030,8032,58,0,0,0,0,0,3958
000720251204H191517882246S2EF_LitaAgentY-LitaAgentP-XElu.22_1,79,79,74.38320973499867,[],[],[],[],0,0,2.932358577655738e-07,3004,6008,0,6008,1856,4152,270,3004,3446,6848,56,0,0,0,0,0,3368
000220251204H191517544409YyAK_LitaAgentY-LitaAgentP-XqgR.08_2,178,178,150.5462345979995,[],[],[],[],0,0,7.185002687037923e-07,2458,4916,0,4916,1860,3052,26,2458,4528,9024,18,0,0,0,0,0,4494
001820251204H191518731166oSeo_LitaAgentY-LitaAgentC-LitaAgentPi99.54_2,180,20,892.131645274003,[],[],[],[],0,0,0.002169604157786939,1176,2352,0,2352,344,1120,384,1176,658,1281,0,0,0,0,0,0,592
000520251204H191517722210ao8p_LitaAgentY-LitaAgentP-Xq5d.17_1,142,142,182.82608133299982,[],[],[],[],0,0,2.3405878249939312e-07,4342,8684,0,8684,2656,6028,100,4342,5562,11088,128,0,0,0,0,0,5416
000620251204H1915178143673RTl_LitaAgentY-LitaAgentP-XI9H.19_1,106,106,146.42802301700067,[],[],[],[],0,0,2.817059259327567e-07,4636,9272,0,9272,2502,6770,630,4636,4642,9248,0,0,0,0,0,0,4624
001220251204H191518230742odZW_LitaAgentY-LitaAgentYR-LitaAgentPqE9.37_1,191,191,128.8435429609999,[],[],[],[],0,0,3.192002623109147e-07,2671,5342,0,5342,1128,4214,28,2671,4048,8064,16,0,0,0,0,0,4016
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-XniW.15_1,142,142,162.27149158700013,[],[],[],[],0,0,2.641176893923651e-07,4414,8828,0,8828,2556,6272,114,4414,5462,10888,112,0,0,0,0,0,5332
