index,agent_id,agent_name,agent_type,base_stats_folder,log_file,run_id,score,stats_folders,world
2407,01Xe@0,01Xe@0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,001720251204H191518649941I0kf_LitaAgentC-LitaAgentN-XNLx.52_10e2eb7,0.7504583230009997,,001720251204H191518649941I0kf_LitaAgentC-LitaAgentN-XNLx.52_1
2408,08Li@2,08Li@2,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,,,001720251204H191518649941I0kf_LitaAgentC-LitaAgentN-XNLx.52_10e2eb7,0.5233313869227942,,001720251204H191518649941I0kf_LitaAgentC-LitaAgentN-XNLx.52_1
2409,04Li@1,04Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,,,001120251204H191518196347zglR_LitaAgentY-LitaAgentC-LitaAgentPuvz.33_273d630,1.0,,001120251204H191518196347zglR_LitaAgentY-LitaAgentC-LitaAgentPuvz.33_2
2410,08LCI@2,08LCI@2,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,001120251204H191518196347zglR_LitaAgentY-LitaAgentC-LitaAgentPuvz.33_273d630,0.8557726652721087,,001120251204H191518196347zglR_LitaAgentY-LitaAgentC-LitaAgentPuvz.33_2
2411,12LYR@3,12LYR@3,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,,,001120251204H191518196347zglR_LitaAgentY-LitaAgentC-LitaAgentPuvz.33_273d630,1.1414793541115955,,001120251204H191518196347zglR_LitaAgentY-LitaAgentC-LitaAgentPuvz.33_2
2412,00LCI@0,00LCI@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,000720251204H191517882246S2EF_LitaAgentY-LitaAgentC-Xtgm.22_21d54e2,-0.4124860485078686,,000720251204H191517882246S2EF_LitaAgentY-LitaAgentC-Xtgm.22_2
2413,01Xe@0,01Xe@0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,000720251204H191517882246S2EF_LitaAgentY-LitaAgentC-Xtgm.22_21d54e2,-0.158020033854402,,000720251204H191517882246S2EF_LitaAgentY-LitaAgentC-Xtgm.22_2
2414,05Li@1,05Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,000720251204H191517882246S2EF_LitaAgentY-LitaAgentC-Xtgm.22_21d54e2,1.0111567585863412,,000720251204H191517882246S2EF_LitaAgentY-LitaAgentC-Xtgm.22_2
2415,00LYR@0,00LYR@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,,,001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-LitaAgentNCJ6.54_15d105c,0.4096313203508457,,001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-LitaAgentNCJ6.54_1
2416,09Li@2,09Li@2,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,,,001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-LitaAgentNCJ6.54_15d105c,-0.0042651287631958,,001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-LitaAgentNCJ6.54_1
2417,13Li@3,13Li@3,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-LitaAgentNCJ6.54_15d105c,0.9394958663475436,,001820251204H191518731166oSeo_LitaAgentY-LitaAgentYR-LitaAgentNCJ6.54_1
2418,00Li@0,00Li@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,000820251204H1915179350482njE_LitaAgentY-LitaAgentC-Xnnu.25_11ab11c,0.5542911143678348,,000820251204H1915179350482njE_LitaAgentY-LitaAgentC-Xnnu.25_1
2419,01Xe@0,01Xe@0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,000820251204H1915179350482njE_LitaAgentY-LitaAgentC-Xnnu.25_11ab11c,1.0014362586918266,,000820251204H1915179350482njE_LitaAgentY-LitaAgentC-Xnnu.25_1
2420,12LCI@3,12LCI@3,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,000820251204H1915179350482njE_LitaAgentY-LitaAgentC-Xnnu.25_11ab11c,0.7142582978784734,,000820251204H1915179350482njE_LitaAgentY-LitaAgentC-Xnnu.25_1
2421,00Li@0,00Li@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentN-XFrU.20_152692c,0.7917674283497553,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentN-XFrU.20_1
2422,05Li@1,05Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentN-XFrU.20_152692c,0.4803944470448934,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentN-XFrU.20_1
2423,09Xe@2,09Xe@2,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentN-XFrU.20_152692c,1.1403902308099454,,000620251204H1915178143673RTl_LitaAgentY-LitaAgentN-XFrU.20_1
2424,00Xe@0,00Xe@0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,000820251204H1915179350482njE_LitaAgentY-LitaAgentP-Xwzj.25_209c654,0.8428281676350662,,000820251204H1915179350482njE_LitaAgentY-LitaAgentP-Xwzj.25_2
2425,01Li@0,01Li@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,,,000820251204H1915179350482njE_LitaAgentY-LitaAgentP-Xwzj.25_209c654,0.6027856422133921,,000820251204H1915179350482njE_LitaAgentY-LitaAgentP-Xwzj.25_2
2426,12Li@3,12Li@3,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,,,000820251204H1915179350482njE_LitaAgentY-LitaAgentP-Xwzj.25_209c654,0.7138401376457812,,000820251204H1915179350482njE_LitaAgentY-LitaAgentP-Xwzj.25_2
2427,00LCI@0,00LCI@0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,,,000920251204H191518050476V10x_LitaAgentC-LitaAgentP-XBf9.27_2eec163,0.6302326702783257,,000920251204H191518050476V10x_LitaAgentC-LitaAgentP-XBf9.27_2
2428,05Xe@1,05Xe@1,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,,,000920251204H191518050476V10x_LitaAgentC-LitaAgentP-XBf9.27_2eec163,1.510805628126761,,000920251204H191518050476V10x_LitaAgentC-LitaAgentP-XBf9.27_2
2429,06Li@1,06Li@1,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,,,000920251204H191518050476V10x_LitaAgentC-LitaAgentP-XBf9.27_2eec163,0.7739872053331139,,000920251204H191518050476V10x_LitaAgentC-LitaAgentP-XBf9.27_2
