world,type,negs_initiated,times,negs_timedout,negotiator_exceptions,contracts_erred,breaches_received,negs_succeeded,negs_registered,neg_requests_rejected,contracts_signed,contracts_breached,exceptions,contracts_dropped,neg_requests_received,contracts_executed,negs_failed,neg_requests_sent,contracts_concluded,contracts_nullified,breaches_committed
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,615,3.355100125190802e-05,5,[],0,0,154,615,0,763,0,[],2,615,377,459,615,385,0,0
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,3.0137001886032522e-05,172,[],0,0,306,836,0,612,0,[],0,836,286,530,0,306,0,0
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,615,0.036056038032256765,4,[],0,0,339,615,0,1124,0,[],21,615,528,273,615,566,0,0
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,2.630004019010812e-07,0,[],0,0,248,308,0,496,0,[],23,308,225,60,0,248,0,0
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,System,0,1.5510013327002525e-06,0,[],0,0,0,0,0,1531,0,[],0,0,758,0,0,777,0,0
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,0,174.58595498209252,0,[],0,0,165,836,0,330,0,[],0,836,150,665,0,165,0,0
001520251204H191518506935oTxq_LitaAgentY-LitaAgentC-LitaAgentNBua.45_2553168,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,1025,0.010144529001991032,167,[],0,0,708,1300,0,2046,0,[],86,1300,910,591,1025,1027,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,420,7.370035746134818e-07,26,[],0,0,351,3356,0,956,0,[],3,3356,475,3005,420,478,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,420,2.4200198822654784e-07,41,[],0,0,11,420,0,300,0,[],0,420,150,409,420,151,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,2520,1.500997313996777e-06,10,[],0,0,1014,2520,0,3576,0,[],44,2520,1744,1506,2520,1794,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,416,9.510004019830376e-07,0,[],0,0,0,416,0,284,0,[],0,416,142,416,416,143,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,System,0,5.629990482702851e-07,0,[],0,0,0,0,0,2888,0,[],0,0,1444,0,0,1453,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,420,2.5199915398843586e-07,0,[],0,0,0,420,0,244,0,[],0,420,122,420,420,122,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_2d7f6b8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,200,7.770031515974551e-07,37,[],0,0,1054,1660,0,2388,0,[],57,1660,1137,606,200,1195,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,414,6.819991540396586e-07,24,[],0,0,262,3348,0,778,0,[],6,3348,383,3085,414,389,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,414,2.4899964046198875e-07,45,[],0,0,20,414,0,318,0,[],0,414,159,394,414,160,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,2484,1.4540000847773626e-06,13,[],0,0,885,2484,0,3318,0,[],37,2484,1622,1598,2484,1665,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,410,8.829993021208793e-07,0,[],0,0,0,410,0,284,0,[],0,410,142,410,410,143,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,System,0,4.5399974624160677e-07,0,[],0,0,0,0,0,2888,0,[],0,0,1444,0,0,1453,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,414,2.1799860405735672e-07,0,[],0,0,0,414,0,244,0,[],0,414,122,414,414,122,0,0
000520251204H191517722210ao8p_LitaAgentY-LitaAgentC-LitaAgentPUoX.16_117b1ef,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,196,6.850004865555093e-07,36,[],0,0,1021,1594,0,2322,0,[],63,1594,1098,573,196,1162,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,156,7.440030458383262e-07,0,[],0,0,149,1676,0,504,0,[],0,1676,252,1527,156,253,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,981,7.659982657060027e-07,7,[],0,0,369,981,0,1336,0,[],24,981,644,612,981,671,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,327,8.839997462928295e-07,0,[],0,0,0,327,0,198,0,[],0,327,99,327,327,100,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,System,0,5.599977157544345e-07,0,[],0,0,0,0,0,1554,0,[],0,0,777,0,0,784,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,327,8.019997039809823e-07,7,[],0,0,674,1252,0,1552,0,[],54,1252,722,578,327,777,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,327,2.9600050766021013e-07,0,[],0,0,5,327,0,202,0,[],0,327,101,322,327,102,0,0
000320251204H191517644184eenr_LitaAgentY-LitaAgentP-Xp6v.11_1ae3585,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,327,2.1999949240125716e-07,0,[],0,0,9,327,0,174,0,[],0,327,87,318,327,87,0,0
000820251204H1915179350482njE_LitaAgentC-LitaAgentP-XLyF.26_2cb677c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,3620,1.462998625356704e-06,9,[],0,0,769,5434,0,2644,0,[],2,5434,1320,2681,3620,1325,0,0
