agent_type,count,mean,std,min,25%,median,75%,max
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIRTracked,675.0,0.4085065801014843,0.3400958734371207,-0.3943806909499184,0.1648057663541311,0.4508043293117497,0.6669212644771871,1.0769503045623274
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentNTracked,675.0,0.27494315480819365,0.4678492229239382,-1.0766236211870155,-0.21892273046167876,0.4494123222946953,0.6199288266203651,0.8792236339256343
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentPTracked,675.0,0.6871927784705921,0.3057039678278216,0.1648057663541311,0.4534811275375913,0.678832349404823,1.0,1.0
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,675.0,0.8131957484109118,0.3088840636430772,0.1105539053236234,0.6214560815844068,0.8419087985729371,1.0,1.3570113226341678
scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYRTracked,675.0,0.831299114127647,0.2866022833775037,0.1669291421765391,0.6531027561921618,0.8761170831756621,1.0184953497150546,1.368008920956407
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,675.0,1.1250686424843406,0.32433211001517065,0.2984593323320966,0.9386793949691826,1.190997380692197,1.3920377034105975,1.670533313196187
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,675.0,1.131322016723629,0.22604363053009097,0.4663766124013763,1.0,1.1501484000303424,1.2930377376607134,1.6386726765115254
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,675.0,1.034764476293433,0.2966056446206434,0.3461926708783568,0.8393107939484831,1.0,1.3096172788294216,1.560119934207598
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,675.0,0.6502244993443702,0.31123307286235125,-0.4847905330223672,0.4605531965962024,0.6252695211252627,0.8991699168000907,1.4083460573652429
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,675.0,0.7184101665437436,0.1968362885540749,0.2425546080310817,0.5627624113727175,0.7823943424968324,0.8738854937782486,1.135037915057182
scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.optimistic_agent.OptimisticAgent,675.0,0.46206999110211033,0.5843635343377612,-1.064806956709419,-0.20830276910791884,0.7399632744235534,0.9197325958286657,1.155635033222682
