name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.09,95,95,64.41058155199971,[],[],[],[],0,0,1.3400003808783368e-07,1096,2192,0,2192,556,1630,10,1096,2032,4032,20,0,0,0,0,0,1996
000220251210H223957905396qy6l_Po-Pr-Kf9e.08,71,71,299.53041278599994,[],[],[],[],0,0,1.3214282392125046e-07,2268,4536,0,4536,2624,1912,206,2268,3746,7464,2,0,0,0,0,0,3730
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09,95,95,172.78866004600013,[],[],[],[],0,0,1.3510002645489293e-07,1204,2408,0,2408,304,2102,76,1204,1780,3528,2,0,0,0,0,0,1762
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00,82,82,56.3903089989999,[],[],[],[],0,0,2.0058820048100588e-07,2969,5938,0,5938,1746,4192,92,2969,3176,6316,110,0,0,0,0,0,3048
000120251210H223957863747wmRA_X-U-PFXu.04,96,96,454.58877288199983,[],[],[],[],0,0,1.1733330514592427e-07,2871,5742,0,5742,3046,2696,540,2871,4742,9452,40,0,0,0,0,0,4686
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-UHsS.01,82,82,315.8153779200002,[],[],[],[],0,0,1.1470589978510843e-07,2476,4952,0,4952,1676,3274,20,2476,3106,6176,164,0,0,0,0,0,2924
000020251210H223957824305qBUX_L-X-U7zO.02,82,82,341.1322831409998,[],[],[],[],0,0,1.476469953879988e-07,2963,5926,0,5926,1876,4044,26,2963,3306,6576,122,0,0,0,0,0,3166
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.14,60,60,345.5422151900002,[],[],[],[],0,0,1.7210526206518375e-07,2557,5114,0,5114,1468,1792,16,2557,2402,4776,62,0,0,0,0,0,2326
000220251210H223957905396qy6l_L-P-K7Ta.07,71,71,131.07905834899975,[],[],[],[],0,0,2.128571655443271e-07,1964,3928,0,3928,1990,1938,130,1964,3112,6196,30,0,0,0,0,0,3068
000420251210H223957973606jpxE_L-Po-PrIE8.14,60,60,231.34289943000022,[],[],[],[],0,0,1.4952626626932455e-07,2653,5306,0,5306,1432,1912,304,2653,2366,4704,56,0,0,0,0,0,2296
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-Kw74.09,95,95,173.1386953479996,[],[],[],[],0,0,1.7100010154535994e-07,1060,2120,0,2120,382,1738,18,1060,1858,3684,12,0,0,0,0,0,1830
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XI9l.09,95,95,192.92602182899964,[],[],[],[],0,0,1.2599984984262845e-07,1148,2296,0,2296,520,1776,6,1148,1996,3960,0,0,0,0,0,0,1980
000320251210H223957935659O58P_LitaAgentY-LitaAgentP-PlAe.09,95,95,177.34988023999995,[],[],[],[],0,0,1.4999986888142303e-07,1288,2576,0,2576,382,2194,38,1288,1858,3684,4,0,0,0,0,0,1838
000020251210H223957824305qBUX_L-U-Oftt.02,82,82,336.93194771100025,[],[],[],[],0,0,1.111764985955019e-07,2764,5528,0,5528,1244,4284,122,2764,2674,5312,108,0,0,0,0,0,2548
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-On9M.09,95,95,295.3538371980003,[],[],[],[],0,0,2.0000011318188627e-07,1124,2248,0,2248,440,1808,20,1124,1916,3800,20,0,0,0,0,0,1880
000420251210H223957973606jpxE_L-X-OjYQ.12,60,60,223.7891040000004,[],[],[],[],0,0,1.2315788473259948e-07,2727,5454,0,5454,1826,1840,48,2727,2760,5492,30,0,0,0,0,0,2716
000420251210H223957973606jpxE_L-P-Ov4C.13,60,60,209.039295476,[],[],[],[],0,0,1.1473687328888398e-07,2820,5640,0,5640,1472,2296,288,2820,2406,4784,28,0,0,0,0,0,2364
000120251210H223957863747wmRA_LitaAgentC-LitaAgentN-LitaAgentPBRt.04,96,96,687.221491342,[],[],[],[],0,0,1.3466669770423323e-07,2808,5616,0,5616,2968,2648,276,2808,4664,9296,80,0,0,0,0,0,4568
000420251210H223957973606jpxE_LitaAgentYT-LitaAgentYR-KBhL.13,60,60,242.32321802600018,[],[],[],[],0,0,1.2315790866667063e-07,2763,5526,0,5526,1494,2190,218,2763,2428,4828,40,0,0,0,0,0,2374
000320251210H223957935659O58P_LitaAgentN-LitaAgentP-U10o.10,95,95,154.07327469200004,[],[],[],[],0,0,1.2899995454063174e-07,1092,2184,0,2184,318,1866,22,1092,1794,3556,10,0,0,0,0,0,1768
000220251210H223957905396qy6l_LitaAgentY-LitaAgentC-KgPN.08,71,71,483.02435748799985,[],[],[],[],0,0,1.2785715495868188e-07,2272,4544,0,4544,2542,2002,330,2272,3664,7300,0,0,0,0,0,0,3650
000120251210H223957863747wmRA_U-P-KvX7.03,96,96,456.55811143400024,[],[],[],[],0,0,7.220000043162145e-07,2835,5670,0,5670,2994,2676,632,2835,4690,9348,46,0,0,0,0,0,4628
000220251210H223957905396qy6l_LitaAgentY-LitaAgentN-K63u.07,71,71,253.91963904600016,[],[],[],[],0,0,1.2857143311911e-07,2072,4144,0,4144,2754,1390,546,2072,3876,7724,50,0,0,0,0,0,3812
000220251210H223957905396qy6l_L-Po-PrtZd.06,71,71,234.06965849600056,[],[],[],[],0,0,1.2928564631563076e-07,2272,4544,0,4544,2668,1876,378,2272,3790,7552,0,0,0,0,0,0,3776
000420251210H223957973606jpxE_U-K-OZ8v.14,60,60,252.29699247700046,[],[],[],[],0,0,1.1473677755259957e-07,2733,5466,0,5466,1530,2138,192,2733,2464,4900,40,0,0,0,0,0,2410
000120251210H223957863747wmRA_L-X-PfMb.04,96,96,485.2175453579998,[],[],[],[],0,0,1.226666123936108e-07,2880,5760,0,5760,2972,2780,460,2880,4668,9304,56,0,0,0,0,0,4596
000320251210H223957935659O58P_L-Po-Prtuo.11,95,95,235.56130413100072,[],[],[],[],0,0,1.2500004231696948e-07,1176,2352,0,2352,612,1740,26,1176,2088,4144,14,0,0,0,0,0,2058
000020251210H223957824305qBUX_L-Po-PrwW2.00,82,82,54.24212662500031,[],[],[],[],0,0,1.9999991790802383e-07,2816,5632,0,5632,1612,4020,14,2816,3042,6048,118,0,0,0,0,0,2906
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-PB3l.09,95,95,208.10435985000004,[],[],[],[],0,0,1.280000105907675e-07,1128,2256,0,2256,482,1768,20,1128,1958,3884,18,0,0,0,0,0,1924
000320251210H223957935659O58P_L-P-KOWc.10,95,95,196.2596130259999,[],[],[],[],0,0,1.5599998732795938e-07,1080,2160,0,2160,446,1712,144,1080,1922,3812,24,0,0,0,0,0,1882
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-LitaAgentNnVp.12,60,60,226.9931130899995,[],[],[],[],0,0,1.926315043850704e-07,2754,5508,0,5508,1670,2030,60,2754,2604,5180,30,0,0,0,0,0,2560
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-XWlR.11,95,95,162.4779380430009,[],[],[],[],0,0,2.599999788799323e-07,1136,2272,0,2272,422,1850,18,1136,1898,3764,14,0,0,0,0,0,1868
000320251210H223957935659O58P_L-Po-Pr1OS.11,95,95,206.57420857700072,[],[],[],[],0,0,1.219999830937013e-07,1136,2272,0,2272,546,1726,24,1136,2022,4012,14,0,0,0,0,0,1992
000120251210H223957863747wmRA_L-X-PPEa.05,96,96,397.4718256000001,[],[],[],[],0,0,1.2599997110858866e-07,2922,5844,0,5844,3176,2668,268,2922,4872,9712,74,0,0,0,0,0,4782
000220251210H223957905396qy6l_L-U-PmVp.08,71,71,46.136635336000836,[],[],[],[],0,0,1.3785704920467522e-07,2272,4544,0,4544,1864,2680,752,2272,2986,5944,0,0,0,0,0,0,2972
000020251210H223957824305qBUX_LitaAgentC-LitaAgentP-U5k9.00,82,82,337.6430522149999,[],[],[],[],0,0,1.864705957225798e-07,2933,5866,0,5866,1746,4120,64,2933,3176,6316,148,0,0,0,0,0,3010
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-OZyi.02,82,82,136.09650245600005,[],[],[],[],0,0,1.1823527422487078e-07,2484,4968,0,4968,1638,3330,188,2484,3068,6100,156,0,0,0,0,0,2894
000220251210H223957905396qy6l_LitaAgentY-LitaAgentN-XJY3.07,71,71,126.57801421300064,[],[],[],[],0,0,1.9857140744404334e-07,1968,3936,0,3936,2650,1286,300,1968,3772,7516,50,0,0,0,0,0,3708
000420251210H223957973606jpxE_LitaAgentYT-LitaAgentYR-OUnS.13,60,60,232.6736105560003,[],[],[],[],0,0,1.2368429069235724e-07,2757,5514,0,5514,1546,2142,124,2757,2480,4932,38,0,0,0,0,0,2428
000420251210H223957973606jpxE_LitaAgentY-LitaAgentP-XFer.12,60,60,220.44645417799984,[],[],[],[],0,0,1.2578943584996617e-07,2737,5474,0,5474,1472,2216,46,2737,2406,4784,32,0,0,0,0,0,2360
000120251210H223957863747wmRA_U-Po-PrQwN.04,96,96,497.3689420800001,[],[],[],[],0,0,1.2733332065787788e-07,2796,5592,0,5592,3332,2260,802,2796,5028,10024,84,0,0,0,0,0,4928
000020251210H223957824305qBUX_LitaAgentY-LitaAgentN-OZyi.00,82,82,346.4716329560006,[],[],[],[],0,0,1.211764195913394e-07,2645,5290,0,5290,1838,3452,96,2645,3268,6500,158,0,0,0,0,0,3092
000020251210H223957824305qBUX_Po-Pr-Oq1z.02,82,82,361.06885623200014,[],[],[],[],0,0,1.1882355679785285e-07,2819,5638,0,5638,1510,4128,42,2819,2940,5844,152,0,0,0,0,0,2770
000320251210H223957935659O58P_L-U-Kr5L.09,95,95,71.73868135399971,[],[],[],[],0,0,1.339998561888933e-07,1144,2288,0,2288,492,1796,62,1144,1968,3904,12,0,0,0,0,0,1940
000320251210H223957935659O58P_LitaAgentY-LitaAgentC-LitaAgentPMRQ.11,95,95,161.88239761199975,[],[],[],[],0,0,1.410000095347641e-07,1164,2328,0,2328,344,1984,32,1164,1820,3608,4,0,0,0,0,0,1800
000220251210H223957905396qy6l_L-P-Ol5o.06,71,71,295.00668537499996,[],[],[],[],0,0,1.3928583289920686e-07,2272,4544,0,4544,2748,1796,372,2272,3870,7712,0,0,0,0,0,0,3856
000220251210H223957905396qy6l_L-U-O7ZG.08,71,71,250.42098756099995,[],[],[],[],0,0,1.3642859032967992e-07,2144,4288,0,4288,2334,1954,64,2144,3456,6884,58,0,0,0,0,0,3384
000120251210H223957863747wmRA_U-P-O9PD.04,96,96,402.2237572619997,[],[],[],[],0,0,1.3866671603561068e-07,2862,5724,0,5724,3058,2666,772,2862,4754,9476,50,0,0,0,0,0,4688
000120251210H223957863747wmRA_Po-Pr-KFP6.05,96,96,432.9482872130002,[],[],[],[],0,0,1.2599994079209864e-07,2853,5706,0,5706,2826,2880,498,2853,4522,9012,64,0,0,0,0,0,4442
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-Kw1a.11,95,95,178.2480258249998,[],[],[],[],0,0,2.2200010789674708e-07,1172,2344,0,2344,424,1920,30,1172,1900,3768,10,0,0,0,0,0,1874
000220251210H223957905396qy6l_LitaAgentY-LitaAgentP-UfdS.07,71,71,48.488754001000416,[],[],[],[],0,0,1.4071390199075851e-07,2272,4544,0,4544,2350,2194,268,2272,3472,6916,0,0,0,0,0,0,3458
000220251210H223957905396qy6l_LitaAgentY-LitaAgentN-XYAO.07,71,71,140.96843649200036,[],[],[],[],0,0,1.6071440508572517e-07,2272,4544,0,4544,2260,2276,10,2272,3382,6736,0,0,0,0,0,0,3368
000420251210H223957973606jpxE_LitaAgentY-LitaAgentC-PkaT.14,60,60,256.24936758700005,[],[],[],[],0,0,1.221579192420713e-07,2751,5502,0,5502,1472,2234,14,2751,2406,4784,32,0,0,0,0,0,2360
000120251210H223957863747wmRA_LitaAgentY-LitaAgentP-XI4M.03,96,96,174.64461736300018,[],[],[],[],0,0,1.2266664271010085e-07,3012,6024,0,6024,2942,3080,404,3012,4638,9244,68,0,0,0,0,0,4554
000020251210H223957824305qBUX_L-X-OrwW.01,82,82,366.52452500099935,[],[],[],[],0,0,1.294116266174516e-07,2762,5524,0,5524,1704,3818,226,2762,3134,6232,148,0,0,0,0,0,2968
000220251210H223957905396qy6l_L-P-O6Lh.06,71,71,326.82406185399986,[],[],[],[],0,0,1.4142856993463022e-07,2136,4272,0,4272,2408,1860,566,2136,3530,7032,46,0,0,0,0,0,3470
000120251210H223957863747wmRA_L-P-KPdc.05,96,96,185.77084733799984,[],[],[],[],0,0,1.3399997745485355e-07,2265,4530,0,4530,3310,1220,574,2265,5006,9980,142,0,0,0,0,0,4848
000320251210H223957935659O58P_L-P-OxNc.09,95,95,21.424627010999757,[],[],[],[],0,0,2.2500025806948542e-07,1156,2312,0,2312,480,1832,44,1156,1956,3880,14,0,0,0,0,0,1926
000020251210H223957824305qBUX_L-P-KlFD.01,82,82,145.699570107,[],[],[],[],0,0,1.1764699165188872e-07,2889,5778,0,5778,1474,4302,84,2889,2904,5772,126,0,0,0,0,0,2760
000120251210H223957863747wmRA_LitaAgentC-LitaAgentN-PX8I.05,96,96,555.5081210580001,[],[],[],[],0,0,2.2733323324549322e-07,2841,5682,0,5682,3118,2564,716,2841,4814,9596,48,0,0,0,0,0,4750
000120251210H223957863747wmRA_LitaAgentY-LitaAgentC-X1Ii.05,96,96,396.88354964599966,[],[],[],[],0,0,1.3066667937285577e-07,2961,5922,0,5922,2858,3064,156,2961,4554,9076,50,0,0,0,0,0,4488
000120251210H223957863747wmRA_LitaAgentY-LitaAgentC-OR0g.05,96,96,80.29128334699999,[],[],[],[],0,0,1.9466666950999448e-07,2925,5850,0,5850,3526,2322,604,2925,5222,10412,54,0,0,0,0,0,5152
000320251210H223957935659O58P_L-X-Kye8.10,95,95,178.91909089299998,[],[],[],[],0,0,1.3300000318849924e-07,1080,2160,0,2160,328,1832,20,1080,1804,3576,12,0,0,0,0,0,1776
